Entity_name,Entity_id
장사길,E0048500
공양왕,E0004385
정총,E0051007
정희계,E0051208
정도전,E0050093
이지란,E0046047
김사형,E0009312
배극렴,E0021844
남은,E0012086
조인옥,E0052525
오몽을,E0038240
김인찬,E0010259
조견,E0051546
남재,E0012125
이민도,E0044312
박포,E0021326
홍길민,E0063996
조온,E0052410
태조,E0059033
조반,E0051775
유원정,E0041712
정용수,E0050628
정탁,E0051045
오사충,E0038301
장담,E0048364
이백유,E0044355
조영무,E0052392
조박,E0051772
안경공,E0034498
김균,E0008672
장지화,E0048809
백가,E0021961
심효생,E0033977
조영규,E0052389
한상경,E0061699
김로,E0009053
황거정,E0065060
윤호,E0042691
장사정,E0048504
민여익,E0020184
조준,E0052623
고여,E0003821
함부림,E0062145
민개,E0020067
이직,E0046090
평강공주,E0059861
공민왕,E0004295
이천우,E0046223
신돈,E0032783
이화,E0046589
조민수,E0051768
조기,E0051638
이제,E0045863
이임룡,E0045662
이색,E0044640
유경,E0041238
이근,E0043812
이부,E0044426
이서,E0044646
우현보,E0040183
김종연,E0010500
대소,E0014524
이초,E0046246
경복흥,E0002455
신우상,E0033229
남간,E0011744
권감,E0006819
왕가도,E0039022
우거,E0039782
권신,E0006977
창빈 안씨,E0074106
이인임,E0045625
헌강왕,E0063198
윤이,E0042516
정몽주,E0050190
홍무적,E0064077
최영,E0057469
백관수,E0021990
왕우,E0039129
삼,E0026429
왕승귀,E0039111
요극일,E0039296
이인,E0045588
우왕,E0040045
무왕,E0019178
왕강,E0039024
현종,E0063417
석거억,E0028339
강감찬,E0000954
유사,E0041484
고부천,E0003616
안건영,E0034490
조가석,E0051527
설장수,E0029081
우홍수,E0040190
제경욱,E0051232
김진양,E0010648
이종학,E0045952
염장,E0037134
강회백,E0001544
우홍득,E0040187
의비,E0043237
이숭인,E0044922
김주,E0010534
최을의,E0057562
이종선,E0045922
우홍명,E0040188
조호,E0052768
서견,E0027573
이확,E0046621
우홍강,E0040186
정비,E0050286
권홍,E0007140
이내성,E0043920
안노생,E0034567
이첨,E0046240
우홍부,E0040189
김윤수,E0010111
김남득,E0008861
이을진,E0045484
허응,E0063119
유정현,E0041818
최함,E0057740
이감,E0043478
이작인,E0045692
안준,E0035024
이사영,E0044529
이실춘,E0045027
강여재,E0001277
성석용,E0029376
성석린,E0029374
김이,E0010178
김첨,E0010778
최관,E0057199
전오륜,E0049535
이신,E0045014
안원,E0034921
강시,E0001256
홍영통,E0064270
정도,E0050086
유기,E0041306
문무술,E0019472
정우,E0070834
안종원,E0035005
이당,E0043961
정희,E0051206
황희석,E0065421
정정렬,E0050862
일각,E0047142
보과,E0023214
허주,E0063149
종간,E0052890
위계정,E0041114
이원계,E0045340
이양우,E0045096
방의석,E0021769
최영지,E0057482
충렬왕,E0058130
유두명,E0041371
단군,E0013538
기자오,E0008394
서형수,E0028294
이인수,E0045616
인수,E0046948
이염,E0045167
이방실,E0044337
민제,E0020253
장가순,E0048240
정인,E0050784
정창,E0050982
숭인,E0032088
윤가관,E0042183
자안,E0047978
성덕구,E0029267
이원구,E0045344
박상충,E0020758
이인복,E0045604
소광주원부인,E0029939
권근,E0006849
지윤,E0054325
정승가,E0050489
이숙묘,E0044877
이숙치,E0044883
우성범,E0039973
이숙복,E0044880
성범,E0029328
정운경,E0050644
윤문거,E0042318
홍수,E0064192
김진,E0010632
권중화,E0007085
봉상왕,E0023909
조임,E0052542
이거인,E0043512
이문화,E0044297
김희선,E0011185
이고,E0043623
좌가려,E0053040
태종,E0059039
비담,E0025107
수기,E0031248
신각,E0032600
흥안군,E0066024
선왕,E0028820
승지,E0032268
오사,E0038298
달달박박,E0013714
서인주,E0028129
한충,E0062027
박의중,E0021043
최단,E0057244
사걸,E0025357
민정,E0020248
김입견,E0010287
윤사덕,E0042359
안주,E0035010
최운해,E0057517
김수익,E0009572
권화,E0007141
유만수,E0070607
진을서,E0054838
이승원,E0044953
의각,E0043110
곽충보,E0004711
박영충,E0020958
유양수,E0074833
자초,E0048094
선조,E0028912
광종,E0005220
고조기,E0003935
윤소종,E0042412
원종,E0040820
이옥,E0045224
이무,E0044265
이의,E0045510
증준,E0054053
노숭,E0012818
정조,E0050867
조비,E0051838
문왕,E0019602
현재덕,E0063406
현신규,E0063367
장경궁주,E0048248
한상질,E0061705
이순,E0044887
김지,E0010591
권지,E0007086
유관,E0041265
우인열,E0040073
노관,E0070489
번완,E0022528
안순,E0034839
장지면,E0048802
신성왕태후,E0033108
이윤,E0045446
전한,E0049741
현각,E0063256
봉규,E0023814
순경,E0031866
고제남,E0003931
김계선,E0008660
변안열,E0022936
신창룡,E0033426
철부,E0056129
이행,E0046453
안경검,E0034496
해구,E0062433
곽해룡,E0004715
김사행,E0009310
최칠석,E0057714
한한,E0062055
명승,E0018304
이황,E0046626
전이도,E0049595
장연우,E0048689
박신,E0020889
장우벽,E0048709
장무,E0048450
이이,E0045546
박위,E0020998
나경적,E0076528
범경문,E0022552
박자안,E0021096
유유,E0041724
이격,E0043527
경의,E0002736
권균,E0006842
진왕,E0054814
유운,E0041702
박안신,E0020903
정상기,E0050346
휘암,E0065835
경,E0002272
박원,E0020986
천보,E0055888
왕승보,E0039112
유의,E0041740
영경,E0037189
최공,E0057193
홍원기,E0064297
김가기,E0008582
한기,E0061527
최연,E0057463
남지,E0012170
조지겸,E0052646
진,E0054561
홍보,E0064105
이지강,E0046045
조사의,E0051854
윤장,E0042552
최사의,E0057348
화문,E0064615
성각,E0029162
유선양,E0041538
윤정구,E0042560
이수,E0044806
이만,E0044145
이원,E0045335
이치,E0046295
윤해,E0042669
심덕부,E0033763
김권,E0008768
이조,E0045883
경보,E0002430
왕빈,E0039090
황순상,E0065225
왕안덕,E0039120
최공철,E0057197
조인벽,E0052521
지용기,E0054315
강인유,E0001361
김천,E0070353
이지,E0046041
한천,E0062009
안경,E0034494
김상,E0009335
이백강,E0044350
정지,E0050940
구성로,E0005858
역도산,E0036592
이광,E0043669
성로,E0029292
송문중,E0030814
윤상,E0042372
서운,E0027950
안익,E0034953
마전련,E0017438
최이,E0057572
도선,E0015705
민가거,E0020058
조경,E0051549
문충,E0019699
헌숙왕후,E0063219
전강,E0049219
이제현,E0045877
김보,E0009229
송장복,E0073550
하윤,E0060672
이빈,E0044504
김흥경,E0011165
박용,E0020967
찬영,E0055231
윤택,E0042655
윤회,E0042704
이자연,E0045681
이천상,E0046212
사도부인,E0025472
이성,E0044702
이진유,E0046126
문극겸,E0019429
준량,E0053639
원윤,E0040775
정효공주,E0071939
성철,E0029655
최한기,E0057736
아달라이사금,E0034232
춘부,E0057968
김은,E0010125
익안대군,E0046792
민선,E0020141
영안,E0037487
진안갈문왕,E0054764
회안공,E0065522
신무왕,E0032937
최,E0012922
후광주원부인,E0065728
효가,E0065628
도도,E0015551
한경교,E0060970
이백온,E0044354
원계검,E0040597
이흥발,E0046696
이의경,E0045515
양우정,E0035681
이점,E0045784
박 보리스 드미트리예비치,E0072275
점숭,E0049845
징엄,E0055092
배신,E0021898
이거이,E0043509
이숙,E0044873
이담,E0043957
이징,E0046149
이교,E0043717
이회,E0046628
담릉,E0013779
숙목부인,E0031802
전백영,E0049415
이영,E0045175
정신의,E0050513
심종,E0033925
김승,E0009630
조생부인,E0051879
하정,E0060693
문덕교,E0019441
원경,E0040592
김승주,E0009644
권희,E0007151
고려복신,E0073557
최독견,E0057254
이정,E0045795
김구덕,E0008757
천경자,E0079472
양문,E0035517
왕화,E0039179
왕거인,E0039025
임원근,E0047580
진무,E0054677
단경왕후,E0013511
염거,E0037077
부과,E0024101
권보,E0006921
권주,E0007067
장신,E0048635
권준,E0007076
주현측,E0053464
최사강,E0057342
이무방,E0044271
윤창만,E0042617
임견미,E0047361
염흥방,E0037156
관기,E0004764
이한,E0046401
갈로맹광,E0000636
사일,E0025900
해일,E0062728
신일선,E0033307
중신,E0053812
이인길,E0045596
명관,E0018216
일조,E0047319
이하,E0046377
김유,E0010069
이상,E0044568
이귀령,E0043763
김백겸,E0009179
김문발,E0009143
안축,E0035065
안경량,E0034501
흔린,E0065925
조순,E0052319
유숙,E0041584
조언,E0052372
문갑송,E0019378
김용,E0009932
홍가신,E0063938
김화경,E0011100
지겸,E0054067
주공삼,E0053184
위정,E0041195
여칭,E0036537
김백안,E0009184
송희정,E0031174
운고,E0040233
원성왕,E0040718
김보정,E0009236
박덕업,E0020629
김영렬,E0009840
김성,E0009453
정윤겸,E0050701
마건,E0017276
양양공,E0035646
은계종,E0042802
변혼,E0022976
표경조,E0060235
황보인,E0065157
최유경,E0057536
임간,E0047351
안우,E0034916
고봉례,E0003602
안극인,E0034549
하륜,E0060593
우복룡,E0039906
만호부인,E0017774
한이경,E0061893
조서,E0051882
정구,E0049982
양무,E0035515
덕종,E0015412
황상,E0065193
미천왕,E0020017
성대영,E0029260
윤신달,E0042439
신달도,E0032740
한우근,E0061857
성왕,E0029457
서전원부인,E0028160
남을진,E0012092
조운,E0052435
민중리,E0020313
조시영,E0052331
영기,E0037246
조구,E0051613
최용소,E0057500
황성기,E0065209
임수간,E0047497
변중량,E0022957
박경,E0020517
조종경,E0052606
신단,E0032735
연,E0036662
최긍,E0057226
이암,E0045061
이숙번,E0044879
숭선군,E0032073
최원,E0057519
조치우,E0052712
희진,E0066129
박인,E0070538
인경,E0071974
안정,E0034983
긍법,E0075584
최사위,E0057346
신효창,E0033594
구성량,E0005857
조평,E0052734
영규,E0037243
괴유,E0005421
정남규,E0076803
조주,E0052620
정안지,E0050532
변옥란,E0022946
변원규,E0022948
능귀문,E0013329
금성규,E0007851
변계량,E0022899
조우,E0052428
조인규,E0052518
신호,E0033572
오원,E0038437
서봉,E0027771
정대년,E0050068
이각,E0043471
응규,E0043075
재매부인,E0048992
신청,E0033450
정경,E0049913
박이겸,E0021046
성여완,E0029447
서부덕,E0027779
이진,E0046098
윤수,E0042414
송송례,E0030886
만덕,E0017563
최무선,E0057297
무선,E0019082
상원부인,E0027233
최해산,E0057749
정만석,E0050169
나세,E0011388
권상,E0006932
교기,E0005445
한재갑,E0067434
최문도,E0057298
주의,E0053379
이인경,E0045590
박인수,E0021074
원의,E0040784
최윤지,E0057558
박헌봉,E0021356
감경인,E0000689
옹몽진,E0038902
고종,E0003939
영수,E0037470
정혼,E0051164
김영수,E0009860
식영암,E0067574
김우,E0009985
윤지,E0042588
질지왕,E0055024
고경리,E0003296
윤회종,E0042708
정분,E0050284
김지수,E0010613
김위,E0010057
정부,E0050272
송인,E0031012
김약,E0009732
이승상,E0044943
김질,E0010672
서갑호,E0027559
정수홍,E0050463
오승,E0038383
박만규,E0020671
탁광무,E0058724
이적,E0045772
황극중,E0065079
노개방,E0012630
오복녀,E0072839
홍자번,E0064358
복구,E0023646
이춘부,E0046267
김덕생,E0008941
송거신,E0030625
안민영,E0034731
석주,E0028511
지천,E0054416
이지천,E0046081
김난상,E0008857
정안,E0050526
장백손,E0074099
고명달,E0003553
김중명,E0010575
이정견,E0045802
색난,E0069215
예,E0037871
이송,E0044803
예종,E0038021
안종,E0034999
신필원,E0076013
용석,E0039538
민유의,E0020223
경대승,E0002368
정견모주,E0049911
맹만택,E0018063
김어진,E0009777
김온,E0009917
정선,E0050379
김약항,E0009746
김점현,E0075824
조숭문,E0052328
구이신왕,E0005981
자우,E0048005
이달충,E0043952
유용생,E0041692
김익정,E0010222
이곡,E0043626
곡나진수,E0004105
유구,E0041284
임경숙,E0047363
정신,E0050508
유탁,E0041929
박연,E0020922
이전,E0045777
조관,E0051591
창왕,E0055477
승경궁주,E0032154
문정,E0019657
두경승,E0016951
말구,E0017805
정절,E0050860
이종덕,E0045912
이희로,E0046714
김정경,E0010376
권정생,E0071410
이성중,E0044747
이자영,E0045682
안황,E0035112
양경학,E0035399
정휘,E0051203
김장,E0010310
이현,E0046486
윤형,E0042682
정귀세,E0049996
신유정,E0033253
유성,E0041541
이득분,E0044090
민심언,E0020167
최견,E0057167
한고,E0060994
안성,E0034798
심언광,E0033856
당성,E0013903
조사수,E0051853
맹사성,E0018065
원각,E0040573
홍용규,E0064278
조사,E0051843
대간지,E0013988
조돈,E0051675
견권,E0002148
충정왕,E0058192
신덕왕후,E0032766
강충,E0001450
오선기,E0038336
이상좌,E0044614
임식,E0047517
조재도,E0052549
진공,E0054582
오제도,E0073446
경흥,E0003027
정빈 이씨,E0050293
도흥,E0015936
덕기,E0015322
신의경,E0079736
구성,E0005846
강무경,E0001142
하겸락,E0060525
이은,E0045473
오백령,E0038264
오영선,E0038420
민변,E0070613
최운,E0057512
윤저,E0042556
노문천,E0071350
이발,E0044327
서정,E0028164
정담,E0050061
박청,E0021268
육연,E0042127
우산절,E0039948
성석인,E0029377
신덕,E0032760
이예,E0045214
왕조,E0039154
수비 권씨,E0031413
김용기,E0009943
왕경,E0039031
사선,E0025713
이비가,E0044501
근구수왕,E0007391
장병만,E0075969
취도,E0058276
이반,E0044326
이미충,E0070879
굉연,E0077487
장수왕,E0048605
최선,E0057384
반량풍,E0021465
선거이,E0028603
총명,E0057127
방귀온,E0021670
영조,E0037669
조덕린,E0051663
권전,E0007054
김자수,E0010297
효렴,E0065648
박실,E0020894
이거,E0043506
김선치,E0009444
김득제,E0009039
품일,E0060331
손광유,E0030469
김구,E0008753
실모,E0033649
원충,E0040874
구수담,E0005876
강양공,E0001271
유천우,E0041892
장철,E0048836
강사덕,E0001176
박자청,E0021098
유호인,E0042011
유준근,E0041830
미마사,E0019941
홍범도,E0064093
변갑섭,E0075884
이유,E0045408
이응,E0045490
양홍달,E0035868
이관,E0043654
홍달손,E0064013
양부,E0035535
장익,E0071610
심감,E0033703
최호,E0057767
주건,E0053177
여여문,E0036420
유후성,E0042040
황희,E0065420
정공권,E0049938
홍중선,E0064422
정난교,E0050040
윤보,E0042338
전조생,E0049636
문적,E0019653
간왕,E0000555
김처선,E0010736
희강왕,E0066076
김정,E0010372
현상건,E0078498
신근,E0032710
정기광,E0050014
추교신,E0057820
정강왕,E0049904
조화선,E0052779
송전,E0031032
유겸명,E0041237
설오유,E0029063
박형,E0021361
어계선,E0035895
태구련,E0058887
구강,E0005622
언기,E0036150
최질,E0057674
이금,E0043830
이복,E0044441
충숙왕,E0058159
권한공,E0007128
문화왕후,E0019783
송헌주,E0031138
흥달,E0065981
이도,E0044022
황재중,E0065293
원상,E0040705
연사종,E0036799
익비,E0046751
고구,E0003321
인정,E0047014
강은,E0001338
민안인,E0020169
윤사수,E0042363
허지,E0063157
안인,E0034955
강인부,E0001357
향눌,E0062888
이원굉,E0045343
설경동,E0028999
조계생,E0051575
윤관,E0042215
김추월,E0010793
김득배,E0009031
정의,E0050755
김전,E0010367
생육신,E0027525
박안기,E0020900
문주,E0019667
강희맹,E0001550
김서,E0009399
상총,E0027369
유광우,E0041275
천신,E0075624
오간,E0038070
선종,E0028922
공부,E0004319
윤규,E0042237
김육,E0010098
김견수,E0008617
오진,E0038554
정개청,E0049907
고노자,E0003366
배갑문,E0021836
김경,E0008623
구본웅,E0005790
정연,E0050588
이범교,E0075963
박하,E0021341
서유,E0028105
최백안,E0057310
신개,E0032612
정진,E0050964
문익점,E0019627
정천익,E0050997
송흥록,E0031168
박영문,E0020936
이항,E0046424
전유경,E0076052
시거운,E0070340
신귀,E0032701
귀금,E0007176
김부,E0009273
조용,E0052419
이정보,E0045826
김천익,E0010758
임정,E0047631
김맹성,E0009098
염제신,E0037142
이인영,E0045622
안식,E0034849
민무구,E0020099
민무질,E0020102
의안군,E0043315
신극례,E0032707
마천목,E0017466
문빈,E0019494
서익,E0028127
천우,E0055977
영공,E0037197
하경덕,E0060527
유병기,E0041453
정영국,E0050595
정유,E0050683
장자목,E0048770
유자광,E0041774
김겸,E0008619
전흥,E0049780
남경우,E0011770
유은지,E0041732
문학수,E0071606
유총,E0041905
오천근,E0038565
유원지,E0041715
고창일,E0003994
강택진,E0001456
유연,E0041659
박기,E0070438
목인해,E0018670
김정준,E0010415
박미,E0020707
장윤화,E0048739
이등,E0044099
평양공,E0059942
조홍립,E0052772
한규,E0061499
김을한,E0010134
정이오,E0050774
허성,E0063081
황재경,E0073735
장유,E0048727
강중경,E0001398
이귀생,E0043764
심도원,E0033765
박령,E0020664
백신애,E0022189
덕비,E0015342
박송비,E0020828
윤곤,E0042210
최백,E0057308
백영,E0022230
성현,E0029691
김수,E0009543
유조생,E0041820
매창,E0017994
윤심,E0042441
